,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
233,3.0,233,315.0710801000241,Go,space,0.4833054000046104,Correct,False,False
234,3.0,234,316.0702579000499,No_go,,0.0,Correct,False,False
235,3.0,235,317.0695549999364,Go,space,0.3992208000272512,Correct,False,False
236,3.0,236,318.0692440001294,Go,space,0.4341044998727739,Correct,False,False
237,3.0,237,319.0674555001315,No_go,,0.0,Correct,False,False
238,3.0,238,320.06564879999496,Go,space,0.352314000017941,Correct,False,False
239,3.0,239,321.06519240001217,Go,space,0.3835897999815643,Correct,False,False
240,3.0,240,322.0652892999351,Go,space,0.4828174000140279,Correct,False,False
241,3.0,241,323.063854200067,Go,space,0.3991745000239461,Correct,False,False
242,3.0,242,324.06310010002926,Go,space,0.415717100026086,Correct,False,False
243,3.0,243,325.06195449992083,Go,space,0.3519167001359164,Correct,False,False
244,3.0,244,326.06150280009024,No_go,,0.0,Correct,False,False
245,3.0,245,327.0605776999146,Go,space,0.398770600091666,Correct,False,False
246,3.0,246,328.0584346000105,Go,space,0.4672457000706345,Correct,False,False
247,3.0,247,329.05795800010674,Go,space,0.4686905001290142,Correct,False,False
248,3.0,248,330.0574447000399,No_go,,0.0,Correct,False,False
249,3.0,249,331.05654140003026,Go,space,0.4001225000247359,Correct,False,False
250,3.0,250,332.0555960999336,Go,space,0.4151252000592649,Correct,False,False
251,3.0,251,333.05448479996994,Go,space,0.4499684001784771,Correct,False,False
252,3.0,252,334.05328280013055,Go,space,0.4168465998955071,Correct,False,False
253,3.0,253,335.0517697001342,Go,space,0.4005505999084562,Correct,False,False
254,3.0,254,336.05170430010185,Go,space,0.4830398999620229,Correct,False,False
255,3.0,255,337.0511106001213,Go,space,0.4659857000224292,Correct,False,False
256,3.0,256,338.0502053999808,Go,space,0.433166499948129,Correct,False,False
257,3.0,257,339.04888619994745,No_go,,0.0,Correct,False,False
258,3.0,258,340.0482447999529,Go,space,0.3671136000193655,Correct,False,False
259,3.0,259,341.0469160999637,Go,space,0.4015993999782949,Correct,False,False
260,3.0,260,342.04639600007795,Go,space,0.4003335000015795,Correct,False,False
261,3.0,261,343.0451885999646,Go,space,0.3669352000579238,Correct,False,False
262,3.0,262,344.0439695001114,Go,space,0.4001379001419991,Correct,False,False
263,3.0,263,345.04389430000447,Go,space,0.3829000999685377,Correct,False,False
264,3.0,264,346.0421279000584,Go,space,0.4009413002058863,Correct,False,False
265,3.0,265,347.04145590006374,Go,space,0.4172716001048684,Correct,False,False
266,3.0,266,348.0405339000281,Go,space,0.3334246000740677,Correct,False,False
267,3.0,267,349.0397109000478,No_go,space,0.3501281000208109,Incorrect,False,True
268,3.0,268,350.03810949996114,Go,space,0.333893199916929,Correct,False,False
